cod_comuna,cod_provincia,nombre
13122,131,Peñalolén
13123,131,Providencia
13124,131,Pudahuel
13125,131,Quilicura
13126,131,Quinta Normal
13127,131,Recoleta
13128,131,Renca
13129,131,San Joaquín
13130,131,San Miguel
13131,131,San Ramón
13132,131,Vitacura
13201,132,Puente Alto
13202,132,Pirque
13203,132,San José de Maipo
13301,133,Colina
13302,133,Lampa
13303,133,Tiltil
13401,134,San Bernardo
13402,134,Buin
13403,134,Calera de Tango
13404,134,Paine
13501,135,Melipilla
13502,135,Alhué
13503,135,Curacaví
13504,135,María Pinto
13505,135,San Pedro
13601,136,Talagante
13602,136,El Monte
13603,136,Isla de Maipo
13604,136,Padre Hurtado
13605,136,Peñaflor
14101,141,Valdivia
14102,141,Corral
14103,141,Lanco
14104,141,Los Lagos
14105,141,Máfil
14106,141,Mariquina
14107,141,Paillaco
14108,141,Panguipulli
14201,142,La Unión
14202,142,Futrono
14203,142,Lago Ranco
14204,142,Río Bueno
15101,151,Arica
15102,151,Camarones
15201,152,Putre
15202,152,General Lagos
16101,161,Chillán
16102,161,Bulnes
16103,161,Chillán Viejo
16104,161,El Carmen
16105,161,Pemuco
16106,161,Pinto
16107,161,Quillón
16108,161,San Ignacio
16109,161,Yungay
16201,162,Quirihue
16202,162,Cobquecura
16203,162,Coelemu
16204,162,Ninhue
16205,162,Portezuelo
16206,162,Ranquil
16207,162,Treguaco
16301,163,San Carlos
16302,163,Coihueco
16303,163,Ñiquén
16304,163,San Fabián
16305,163,San Nicolás
